Claim_id,Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,,PolicyNumber,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy
14476,Jun,2,Wednesday,Pontiac,Urban,Tuesday,Jul,1,Female,Married,45,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,,4376,7,400,1,more than 30,more than 30,1,more than 7,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils
14477,Jul,3,Sunday,Honda,Urban,Monday,Jul,3,Female,Married,32,Third Party,Sedan - Liability,Sport,less than 20000,,4377,14,400,4,more than 30,more than 30,none,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability
14478,Jun,2,Thursday,Accura,Rural,Monday,Jun,4,Female,Married,52,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,,4378,9,400,2,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
14479,Jul,1,Friday,Pontiac,Urban,Monday,Jul,1,Male,Married,47,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,,4379,15,400,1,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,All Perils
14480,Jun,5,Tuesday,Pontiac,Urban,Tuesday,Jun,5,Male,Married,29,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,,4380,9,400,2,more than 30,more than 30,1,4 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision
14481,Jun,3,Monday,Honda,Urban,Tuesday,Jun,5,Male,Single,0,Policy Holder,Sedan - Liability,Sport,more than 69000,,4381,9,400,3,more than 30,more than 30,2 to 4,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,Liability
14482,Jun,3,Tuesday,Toyota,Urban,Monday,Jun,3,Male,Married,46,Policy Holder,Sedan - Liability,Sport,20000 to 29000,,4382,4,400,4,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1994,Liability
14483,Jun,3,Tuesday,Honda,Urban,Thursday,Jun,3,Male,Married,27,Third Party,Sedan - Liability,Sport,20000 to 29000,,4383,13,400,2,more than 30,more than 30,none,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Liability
14484,Jun,1,Wednesday,Mazda,Urban,Tuesday,Jul,2,Male,Married,53,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,,4384,8,400,1,more than 30,more than 30,none,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision
14485,Jun,2,Friday,Honda,Urban,Wednesday,Jun,5,Male,Single,26,Third Party,Sedan - Collision,Sedan,20000 to 29000,,4385,10,400,2,more than 30,more than 30,1,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision
14486,Jun,1,Thursday,Mazda,Urban,Friday,Jul,3,Female,Single,22,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,,4386,1,400,1,more than 30,more than 30,1,5 years,26 to 30,No,No,External,none,no change,1 vehicle,1994,All Perils
14487,May,4,Monday,Mazda,Urban,Tuesday,May,4,Male,Married,29,Policy Holder,Sedan - Liability,Sport,30000 to 39000,,4387,3,500,2,more than 30,more than 30,1,7 years,31 to 35,No,No,External,none,2 to 3 years,1 vehicle,1994,Liability
14488,May,3,Friday,Dodge,Urban,Monday,May,4,Female,Married,29,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,,4388,1,400,2,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,3 to 4,1994,All Perils
14489,May,3,Thursday,Mazda,Urban,Wednesday,Jun,2,Male,Single,32,Third Party,Sedan - All Perils,Sedan,less than 20000,,4389,5,400,1,more than 30,more than 30,1,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils
14490,Apr,4,Friday,Pontiac,Urban,Monday,Apr,4,Male,Married,59,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,,4390,8,400,4,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,1 to 2,4 to 8 years,2 vehicles,1994,All Perils
14491,Apr,4,Friday,Pontiac,Urban,Monday,Apr,4,Male,Married,53,Policy Holder,Sedan - Liability,Sport,20000 to 29000,,4391,7,400,4,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Liability
14492,Jan,4,Friday,Honda,Urban,Monday,Jan,4,Male,Married,27,Third Party,Sedan - Collision,Sedan,20000 to 29000,,4392,4,400,1,more than 30,more than 30,none,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
14493,Nov,5,Wednesday,Toyota,Urban,Thursday,Dec,1,Female,Single,34,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,,4393,3,400,2,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
14494,Nov,5,Tuesday,Toyota,Urban,Friday,Dec,1,Male,Married,26,Policy Holder,Sedan - Collision,Sedan,less than 20000,,4394,9,400,2,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
14495,Sep,4,Monday,Mazda,Rural,Thursday,Sep,5,Male,Married,42,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,,4395,15,400,4,more than 30,more than 30,more than 4,6 years,36 to 40,Yes,No,External,1 to 2,no change,1 vehicle,1994,Collision
14496,Jun,2,Friday,Pontiac,Urban,Tuesday,Jun,3,Male,Single,34,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,,4396,12,400,4,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
14497,Dec,1,Thursday,Honda,Urban,Wednesday,Dec,4,Female,Married,50,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,,4397,8,400,2,more than 30,more than 30,none,6 years,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision
14498,Jun,2,Friday,Toyota,Urban,Monday,Jun,3,Male,Single,35,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,,4398,7,400,1,more than 30,more than 30,1,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,All Perils
14499,Oct,1,Wednesday,Chevrolet,Urban,Wednesday,Oct,1,Male,Married,55,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,,4399,11,400,4,more than 30,more than 30,none,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision
14500,Oct,1,Friday,Honda,Rural,Saturday,Oct,2,Female,Single,41,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,,4400,1,400,3,more than 30,more than 30,1,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Collision
14501,Dec,2,Monday,VW,Urban,Monday,Dec,2,Male,Married,41,Policy Holder,Sedan - Liability,Sport,40000 to 59000,,4401,14,400,1,more than 30,more than 30,1,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,Liability
14502,Dec,2,Sunday,Toyota,Urban,Friday,Dec,3,Male,Married,43,Third Party,Sedan - All Perils,Sedan,30000 to 39000,,4402,5,400,2,more than 30,more than 30,1,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils
14503,Jan,2,Tuesday,Pontiac,Urban,Tuesday,Jan,2,Male,Married,38,Policy Holder,Sedan - All Perils,Sedan,more than 69000,,4403,10,700,4,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils
14504,Oct,3,Sunday,Mazda,Urban,Tuesday,Oct,4,Male,Married,49,Policy Holder,Sedan - Liability,Sport,20000 to 29000,,4404,10,400,2,more than 30,more than 30,2 to 4,6 years,41 to 50,No,No,External,none,no change,1 vehicle,1994,Liability
14505,Dec,4,Monday,Toyota,Urban,Tuesday,Dec,4,Female,Married,40,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,,4405,8,400,3,more than 30,more than 30,none,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Collision
14506,Aug,2,Saturday,Honda,Urban,Monday,Aug,2,Female,Widow,59,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,,4406,3,400,4,more than 30,more than 30,more than 4,7 years,51 to 65,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils
14507,Mar,2,Saturday,Honda,Urban,Monday,Mar,3,Male,Single,0,Third Party,Sedan - Liability,Sport,more than 69000,,4407,16,400,2,more than 30,more than 30,2 to 4,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,Liability
14508,Feb,1,Sunday,Pontiac,Urban,Friday,Feb,2,Male,Married,29,Policy Holder,Sedan - Liability,Sport,20000 to 29000,,4408,12,400,1,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability
14509,Feb,4,Thursday,Honda,Urban,Monday,Mar,4,Male,Single,0,Policy Holder,Sedan - Liability,Sport,more than 69000,,4409,8,400,3,more than 30,more than 30,more than 4,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,Liability
14510,Feb,4,Sunday,Honda,Urban,Monday,Mar,2,Male,Married,60,Third Party,Sedan - All Perils,Sedan,20000 to 29000,,4410,2,400,1,more than 30,more than 30,none,7 years,51 to 65,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils
14511,Feb,4,Tuesday,Pontiac,Urban,Tuesday,Feb,4,Female,Single,34,Policy Holder,Sedan - Liability,Sport,20000 to 29000,,4411,7,400,3,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,more than 5,4 to 8 years,2 vehicles,1994,Liability
14512,Mar,4,Wednesday,Mazda,Urban,Friday,Apr,2,Male,Married,44,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,,4412,8,400,1,more than 30,more than 30,1,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Collision
14513,Mar,4,Thursday,Honda,Urban,Thursday,Apr,3,Male,Married,33,Policy Holder,Sport - Collision,Sport,more than 69000,,4413,1,400,2,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision
14514,Feb,4,Thursday,Chevrolet,Urban,Wednesday,Mar,1,Male,Married,37,Policy Holder,Sedan - Liability,Sport,30000 to 39000,,4414,2,400,2,more than 30,more than 30,2 to 4,6 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability
14515,Mar,5,Wednesday,Honda,Rural,Tuesday,Jun,1,Male,Single,21,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,,4415,6,400,1,more than 30,more than 30,2 to 4,5 years,26 to 30,No,No,External,none,no change,1 vehicle,1994,All Perils
14516,Mar,5,Tuesday,Accura,Urban,Friday,Mar,5,Male,Married,62,Third Party,Sedan - All Perils,Sedan,30000 to 39000,,4416,12,400,1,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1994,All Perils
14517,Jun,4,Tuesday,Pontiac,Urban,Wednesday,Jun,5,Male,Married,62,Policy Holder,Utility - All Perils,Utility,more than 69000,,4417,12,400,3,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1994,All Perils
14518,Dec,4,Thursday,Mazda,Urban,Saturday,Jan,1,Female,Married,27,Third Party,Sedan - Collision,Sedan,20000 to 29000,,4418,14,400,2,more than 30,more than 30,1,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
14519,Aug,2,Wednesday,Pontiac,Urban,Friday,Aug,3,Male,Single,34,Policy Holder,Sedan - Liability,Sport,20000 to 29000,,4419,11,400,1,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Liability
14520,Mar,4,Wednesday,Saab,Urban,Thursday,Mar,4,Male,Married,47,Third Party,Sedan - All Perils,Sedan,30000 to 39000,,4420,5,400,1,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1994,All Perils
14521,Mar,4,Monday,Pontiac,Urban,Tuesday,Mar,4,Male,Married,41,Policy Holder,Sedan - All Perils,Sedan,less than 20000,,4421,6,400,4,more than 30,more than 30,none,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils
14522,Apr,5,Friday,Mazda,Urban,Monday,May,2,Male,Married,41,Third Party,Sedan - All Perils,Sedan,20000 to 29000,,4422,10,400,2,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,All Perils
14523,Jun,2,Saturday,Chevrolet,Urban,Thursday,Jun,3,Male,Married,61,Third Party,Sedan - All Perils,Sedan,more than 69000,,4423,1,400,3,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils
14524,May,4,Wednesday,Honda,Urban,Wednesday,Jun,1,Male,Single,33,Policy Holder,Sedan - Liability,Sport,more than 69000,,4424,11,400,4,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Liability
14525,Apr,5,Friday,Accura,Urban,Monday,May,2,Male,Married,32,Policy Holder,Sedan - All Perils,Sedan,more than 69000,,4425,12,400,4,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils
14526,Jun,4,Monday,Toyota,Urban,Tuesday,Jun,5,Male,Single,35,Policy Holder,Sedan - Liability,Sport,30000 to 39000,,4426,4,400,1,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Liability
14527,Jun,4,Sunday,Pontiac,Urban,Wednesday,Jun,5,Male,Married,64,Policy Holder,Sedan - Liability,Sport,30000 to 39000,,4427,6,400,3,more than 30,more than 30,more than 4,more than 7,51 to 65,No,No,External,3 to 5,no change,1 vehicle,1994,Liability
14528,Jul,2,Friday,Honda,Urban,Tuesday,Jul,2,Male,Married,55,Third Party,Sedan - Collision,Sedan,30000 to 39000,,4428,2,400,3,more than 30,more than 30,2 to 4,6 years,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision
14529,Jul,1,Wednesday,Pontiac,Urban,Friday,Jul,3,Male,Married,29,Policy Holder,Sedan - Liability,Sport,20000 to 29000,,4429,14,400,4,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,1 to 2,no change,3 to 4,1994,Liability
14530,Jun,2,Saturday,Toyota,Urban,Wednesday,Jul,3,Male,Married,40,Third Party,Sedan - Collision,Sedan,20000 to 29000,,4430,2,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision
14531,Aug,3,Tuesday,Pontiac,Urban,Tuesday,Aug,3,Male,Married,55,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,,4431,14,400,3,more than 30,more than 30,none,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision
14532,Jul,2,Saturday,Honda,Urban,Monday,Jul,2,Male,Married,23,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,,4432,14,400,1,more than 30,more than 30,2 to 4,5 years,26 to 30,No,No,External,1 to 2,4 to 8 years,2 vehicles,1994,Collision
14533,Oct,2,Thursday,Mazda,Urban,Wednesday,Oct,3,Female,Married,50,Policy Holder,Sedan - Liability,Sport,30000 to 39000,,4433,4,400,1,more than 30,more than 30,none,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1994,Liability
14534,Oct,4,Thursday,Honda,Urban,Friday,Oct,5,Male,Married,41,Third Party,Sedan - Collision,Sedan,30000 to 39000,,4434,7,700,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,Collision
14535,Apr,1,Monday,Chevrolet,Urban,Monday,Apr,1,Male,Married,48,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,,4435,2,400,2,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
14536,Jun,1,Tuesday,Pontiac,Urban,Monday,Jun,2,Female,Single,24,Third Party,Sedan - All Perils,Sedan,20000 to 29000,,4436,14,400,4,more than 30,more than 30,none,3 years,26 to 30,No,No,External,more than 5,no change,1 vehicle,1994,All Perils
14537,Apr,4,Saturday,Mazda,Urban,Wednesday,Jul,1,Male,Married,64,Policy Holder,Sport - Collision,Sport,more than 69000,,4437,5,400,1,more than 30,more than 30,1,6 years,51 to 65,No,No,External,none,no change,1 vehicle,1994,Collision
14538,Jun,5,Friday,Honda,Urban,Friday,Jul,4,Male,Married,56,Policy Holder,Sport - Collision,Sport,more than 69000,,4438,11,500,2,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,none,2 to 3 years,1 vehicle,1994,Collision
14539,Nov,1,Saturday,Toyota,Urban,Monday,Nov,3,Male,Married,61,Third Party,Sedan - All Perils,Sedan,20000 to 29000,,4439,8,400,2,more than 30,more than 30,none,7 years,51 to 65,No,No,External,none,no change,1 vehicle,1994,All Perils
14540,Oct,5,Saturday,Pontiac,Urban,Thursday,Nov,1,Male,Married,33,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,,4440,11,400,1,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision
14541,Oct,4,Thursday,Mazda,Urban,Thursday,Oct,4,Male,Single,45,Policy Holder,Sedan - Liability,Sport,30000 to 39000,,4441,10,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability
14542,Aug,1,Saturday,Mazda,Urban,Friday,Aug,2,Male,Single,29,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,,4442,5,400,2,more than 30,more than 30,none,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,All Perils
14543,Jul,3,Monday,Chevrolet,Urban,Tuesday,Jul,3,Male,Married,50,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,,4443,11,400,2,more than 30,more than 30,none,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision
14544,Jul,3,Friday,Mazda,Urban,Tuesday,Jul,3,Male,Married,51,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,,4444,11,400,1,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,All Perils
14545,Jun,3,Wednesday,Mazda,Urban,Thursday,Jun,3,Male,Single,34,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,,4445,16,400,3,more than 30,more than 30,1,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
14546,Mar,4,Sunday,Pontiac,Urban,Wednesday,Mar,5,Male,Married,35,Policy Holder,Sedan - Collision,Sedan,less than 20000,,4446,7,400,2,more than 30,more than 30,1,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,Collision
14547,Mar,4,Friday,Pontiac,Urban,Wednesday,Mar,5,Male,Married,56,Policy Holder,Utility - All Perils,Utility,more than 69000,,4447,15,400,4,more than 30,more than 30,more than 4,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1994,All Perils
14548,Mar,4,Tuesday,Toyota,Urban,Saturday,Mar,4,Male,Single,20,Third Party,Sedan - All Perils,Sedan,30000 to 39000,,4448,5,400,3,more than 30,more than 30,more than 4,4 years,21 to 25,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils
14549,Jun,2,Sunday,Accura,Urban,Wednesday,Jun,5,Male,Married,29,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,,4449,11,400,4,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
14550,Oct,4,Tuesday,Honda,Urban,Monday,Nov,2,Male,Married,63,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,,4450,4,400,1,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1994,Collision
14551,Oct,3,Tuesday,Mazda,Urban,Thursday,Oct,3,Male,Married,40,Third Party,Sedan - All Perils,Sedan,20000 to 29000,,4451,4,400,3,more than 30,more than 30,1,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils
14552,Oct,3,Wednesday,Toyota,Urban,Friday,Oct,5,Male,Single,27,Third Party,Sedan - Collision,Sedan,20000 to 29000,,4452,7,400,3,more than 30,more than 30,1,5 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision
14553,Sep,4,Saturday,Pontiac,Urban,Thursday,Oct,4,Male,Married,42,Third Party,Sedan - Collision,Sedan,less than 20000,,4453,2,400,1,more than 30,more than 30,none,more than 7,36 to 40,No,No,External,3 to 5,4 to 8 years,2 vehicles,1994,Collision
14554,Jul,1,Friday,Accura,Urban,Tuesday,Jul,2,Female,Divorced,45,Policy Holder,Sedan - Liability,Sport,30000 to 39000,,4454,1,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Liability
14555,Jun,2,Saturday,Chevrolet,Urban,Wednesday,Jun,3,Male,Single,35,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,,4455,8,400,3,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
14556,May,5,Monday,Accura,Urban,Monday,Jun,1,Male,Married,36,Policy Holder,Sedan - All Perils,Sedan,40000 to 59000,,4456,5,400,1,more than 30,more than 30,none,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,All Perils
14557,May,1,Sunday,Honda,Urban,Wednesday,Jun,3,Male,Married,43,Policy Holder,Sedan - Collision,Sedan,less than 20000,,4457,11,400,1,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision
14558,Apr,2,Friday,Pontiac,Rural,Monday,Apr,2,Male,Married,27,Policy Holder,Sedan - Liability,Sport,20000 to 29000,,4458,7,400,2,more than 30,more than 30,1,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Liability
14559,Apr,1,Monday,Saab,Urban,Tuesday,Apr,1,Male,Married,44,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,,4459,11,400,3,more than 30,more than 30,none,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Collision
14560,Apr,1,Wednesday,Toyota,Urban,Monday,Apr,2,Male,Single,30,Third Party,Sedan - Liability,Sport,30000 to 39000,,4460,12,400,3,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,3 to 5,1 year,1 vehicle,1994,Liability
14561,Nov,1,Friday,Toyota,Urban,Monday,Nov,3,Male,Married,51,Third Party,Sedan - Collision,Sedan,40000 to 59000,,4461,12,400,3,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1994,Collision
14562,Jun,4,Tuesday,Mazda,Urban,Tuesday,Jun,4,Female,Married,54,Policy Holder,Sedan - Liability,Sport,20000 to 29000,,4462,6,400,4,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,Liability
14563,Jun,2,Monday,Toyota,Urban,Monday,Jun,4,Male,Married,54,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,,4463,8,400,1,more than 30,more than 30,1,7 years,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1994,Collision
14564,Apr,2,Wednesday,Pontiac,Urban,Tuesday,Apr,3,Male,Single,34,Policy Holder,Sedan - All Perils,Sedan,less than 20000,,4464,3,400,2,8 to 15,15 to 30,1,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils
14565,Mar,1,Monday,Dodge,Urban,Wednesday,Sep,4,Male,Married,30,Third Party,Sedan - Collision,Sedan,30000 to 39000,,4465,3,700,3,more than 30,more than 30,1,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
14566,Mar,1,Saturday,Chevrolet,Urban,Monday,Mar,1,Male,Married,54,Policy Holder,Utility - All Perils,Utility,more than 69000,,4466,11,400,2,more than 30,more than 30,2 to 4,6 years,41 to 50,No,No,External,none,no change,1 vehicle,1994,All Perils
14567,Mar,1,Thursday,Mazda,Urban,Friday,Mar,1,Male,Single,32,Third Party,Sedan - Collision,Sedan,20000 to 29000,,4467,11,400,1,more than 30,more than 30,none,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
14568,Jun,2,Monday,Pontiac,Urban,Thursday,Jun,3,Male,Married,37,Policy Holder,Sedan - All Perils,Sedan,less than 20000,,4468,13,400,3,more than 30,more than 30,2 to 4,6 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,All Perils
14569,Jun,2,Monday,VW,Urban,Wednesday,Jun,5,Male,Married,64,Policy Holder,Sedan - All Perils,Sedan,more than 69000,,4469,7,400,1,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils
14570,Mar,1,Friday,Chevrolet,Urban,Tuesday,Mar,2,Male,Married,35,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,,4470,8,400,1,more than 30,more than 30,none,5 years,31 to 35,No,No,External,none,no change,3 to 4,1994,Collision
14571,Jul,3,Wednesday,Toyota,Urban,Monday,Jul,4,Male,Single,24,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,,4471,1,400,1,more than 30,more than 30,2 to 4,5 years,26 to 30,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
14572,Aug,1,Monday,Mazda,Urban,Wednesday,Aug,1,Male,Married,31,Policy Holder,Sedan - Liability,Sport,30000 to 39000,,4472,1,400,3,more than 30,more than 30,1,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Liability
14573,Nov,3,Thursday,Pontiac,Urban,Friday,Nov,4,Male,Married,63,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,,4473,11,400,2,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1994,All Perils
14574,Nov,4,Monday,Honda,Urban,Monday,Nov,4,Female,Single,29,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,,4474,2,400,1,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,4 to 8 years,2 vehicles,1994,Collision
14575,Dec,2,Thursday,Pontiac,Rural,Wednesday,Dec,3,Male,Married,43,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,,4475,7,400,2,more than 30,more than 30,1,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Collision
14576,May,1,Thursday,Toyota,Urban,Friday,May,1,Male,Married,54,Policy Holder,Sedan - Liability,Sport,20000 to 29000,,4476,6,400,4,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1994,Liability
14577,Jun,2,Sunday,Toyota,Urban,Monday,Jun,2,Male,Married,33,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,,4477,12,400,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
14578,Aug,2,Wednesday,Pontiac,Urban,Wednesday,Aug,3,Female,Single,40,Policy Holder,Sedan - Liability,Sport,20000 to 29000,,4478,13,400,4,more than 30,more than 30,none,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Liability
14579,Aug,2,Saturday,Chevrolet,Urban,Monday,Aug,3,Female,Married,27,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,,4479,12,400,1,more than 30,more than 30,none,5 years,31 to 35,Yes,No,External,3 to 5,no change,1 vehicle,1994,Collision
